state,route,link,busname,bustype,departing_time,duration,reaching_time,price,star_rating,seats_available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri NVR Travels,NON A/C Sleeper (2+1),00:30,06h 15m,06:45,693,3.5,29 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri Sai Balaji Travels,A/C Seater / Sleeper (2+1),22:50,07h 25m,06:15,499,3.4,37 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vinay's Tours and Travels,A/C Sleeper (2+1),23:20,06h 40m,06:00,849,4.5,30 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Navin Citi Connect,Non A/C Seater / Sleeper (2+1),02:30,05h 45m,08:15,700,3.3,8 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Ajay Bus,Non A/C Seater / Sleeper (2+1),00:00,06h 55m,06:55,570,3.3,6 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri Keerthana Sai Travels,Non A/C Seater / Sleeper (2+1),01:30,05h 50m,07:20,449,3.2,13 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sai Dasari Travels,A/C Sleeper (2+1),23:15,06h 15m,05:30,700,3.2,24 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri Keerthana Sai Travels,A/C Sleeper (2+1),03:00,05h 50m,08:50,600,3.2,9 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Mayuri Travels,A/C Seater / Sleeper (2+1),02:15,06h 02m,08:17,560,3.1,20 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sai Godavari Travels,Non A/C Seater / Sleeper (2+1),01:05,04h 25m,05:30,549,3.3,31 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Mayuri Travels,A/C Sleeper (2+1),04:00,05h 53m,09:53,780,3.1,15 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,SVM Tours And Travels,Non A/C Seater / Sleeper (2+1),23:59,06h 41m,06:40,888,3.1,23 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Mayuri Travels,Non A/C Seater / Sleeper (2+1),02:00,06h 02m,08:02,560,3.1,3 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Mayuri Travels,Non A/C Seater / Sleeper (2+1),00:50,06h 00m,06:50,400,3.1,6 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Morning Star Travels,A/C Sleeper (2+1),00:50,05h 30m,06:20,790,3.0,30 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,J GAGANA TRAVELS,Non A/C Seater / Sleeper (2+1),00:30,05h 00m,05:30,499,3.0,32 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Morning Star Travels,A/C Sleeper (2+1),02:20,04h 55m,07:15,690,3.0,12 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Navayuga Travels,A/C Seater / Sleeper (2+1),05:10,05h 10m,10:20,1099,2.9,9 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Navayuga Travels,NON AC Seater / Sleeper 2+1,05:10,05h 10m,10:20,1299,2.9,15 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vahini Travels,Non A/C Seater / Sleeper (2+1),23:55,06h 32m,06:27,490,2.9,29 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,KKaveri Travels,Non A/C Seater / Sleeper (2+1),02:00,05h 20m,07:20,560,2.9,5 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Tranzindia Travels,Volvo Multi-Axle A/C Sleeper (2+1),04:25,05h 50m,10:15,500,3.1,14 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vinay's Tours and Travels,NON A/C Sleeper (2+1),22:30,06h 30m,05:00,849,2.5,30 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,YNR Travels,A/C Sleeper (2+1),16:15,06h 45m,23:00,3800,2.6,31 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Shri Ganesh Travels,A/C Seater / Sleeper (2+1),16:00,07h 05m,23:05,500,2.6,29 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri Shivanjaneya Travels,A/C Seater / Sleeper (2+1),00:45,05h 15m,06:00,484,5.0,2 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,AVR Travels,A/C Seater (2+2),23:30,06h 00m,05:30,3999,1.3,24 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Mayuri Travels,NON A/C Hi-Tech (2+2),23:35,05h 55m,05:30,910,2.8,40 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,KVR Tours and Travels,A/C Sleeper (2+1),01:20,06h 05m,07:25,750,2.7,23 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Rainbow Tours And Travels,Non A/C Seater / Sleeper (2+1),00:50,05h 20m,06:10,460,2.7,14 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Rainbow Tours And Travels,Non A/C Seater / Sleeper (2+1),01:15,05h 45m,07:00,399,2.7,5 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Rainbow Tours And Travels,A/C Seater/Sleeper (2+1),23:58,06h 34m,06:32,560,2.7,27 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,GMC Travels,A/C Seater / Sleeper (2+1),02:00,05h 45m,07:45,549,4.4,11 Seats available
Andhra Pradesh,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Yolo Bus,A/C Seater / Sleeper (2+1),23:00,07h 38m,06:38,450,4.3,28 Seats available
